#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
5700000          -1.09571610e+02  1.66349586e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.26206568e+02 -1.06128661e+02  7.31784415e+01 -9.33928575e-29 -6.11670327e-28  1.06670000e-01  1.18186201e-01
5800000          -1.69532618e+00  3.98232889e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.09355907e+00 -1.80025008e+00  5.21704904e+01 -1.54572163e-28 -6.27104460e-28  6.00100000e-02  6.64887400e-02
5900000          -7.13570121e+01  2.55747353e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.69317474e+01 -9.10169336e+01  7.79258521e+01 -7.83777886e-29 -6.35622253e-28  9.59000000e-02  1.06253461e-01
6000000          -5.75142497e+00  9.94602693e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.74602766e+00 -6.09078028e+00  5.38892693e+01 -8.40009043e-05  1.50950942e-05  6.23900000e-02  6.91256872e-02
6100000          -6.25234991e+00  2.03815456e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.29050447e+00 -6.98514459e+00  5.36850248e+01 -2.52002713e-04  1.50949432e+00  6.29000000e-02  6.96907473e-02
6200000          -1.46446084e+01  5.86801776e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.05126262e+01 -1.94139697e+01  5.77734024e+01 -4.16846712e-28 -6.76601787e-28  6.73400000e-02  7.46100942e-02
6300000          -1.25546545e+01  4.98644528e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.75410998e+01 -1.63580525e+01  5.67885332e+01 -1.16625523e-28 -6.85151043e-28  6.63100000e-02  7.34688944e-02
6400000          -7.64680384e+00  3.41038013e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.10571840e+01 -1.07023888e+01  5.40148713e+01 -7.21404511e-28 -6.94651575e-28  6.21900000e-02  6.89040950e-02
6500000          -5.00298349e+00  4.76335525e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.47931901e+00 -4.80564238e+00  5.40631753e+01 -4.14417616e-29 -7.05096536e-28  6.26100000e-02  6.93694386e-02
6600000          -4.10454755e+00  2.74199203e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.37874675e+00 -3.69376329e+00  5.30202523e+01 -8.29435328e-05  1.50968965e-05  6.14300000e-02  6.80620446e-02
6700000          -4.01565228e+00  6.01717537e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.61736981e+00 -3.66649341e+00  5.35499277e+01 -8.29435328e-05  1.50967455e+00  6.23400000e-02  6.90702892e-02
6800000          -9.77078445e+00  2.85126980e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.26220542e+01 -1.16435568e+01  5.67657777e+01 -5.68406187e-29 -7.44198443e-28  6.60500000e-02  7.31808245e-02
6900000          -5.72269683e+00  5.26190875e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.24888770e+00 -5.33929695e+00  5.42294166e+01 -3.02496141e-28 -7.58131964e-28  6.30700000e-02  6.98791007e-02
