# Bins	S_mean	S_std
2.700000000000011280e-01 -5.215249955654144287e-02 4.004848722484646850e-03
2.800000000000011369e-01 -5.463092774152755737e-02 2.366987820176081649e-03
2.900000000000011458e-01 -5.666783079504966736e-02 2.642168695148222699e-03
3.000000000000011546e-01 -5.550437793135643005e-02 3.293821096588517294e-03
3.100000000000011635e-01 -5.797226168215274811e-02 2.483612606815414816e-03
3.200000000000011724e-01 -5.263160914182662964e-02 2.952867177485507272e-03
3.300000000000011813e-01 -4.551154561340808868e-02 2.601773871262336082e-03
3.400000000000011902e-01 -3.934605233371257782e-02 1.351587603338851766e-03
3.500000000000011990e-01 -2.990769408643245697e-02 3.478468969540972431e-03
3.600000000000012079e-01 -2.236301451921463013e-02 1.249406916759939227e-03
3.700000000000012168e-01 -9.819837287068367004e-03 3.772839545961631427e-03
3.800000000000012257e-01 -1.268871128559112549e-04 3.170511514117154220e-03
3.900000000000012346e-01 6.751028820872306824e-03 2.265147583818589733e-03
4.000000000000012434e-01 1.629553548991680145e-02 3.186771857148916216e-03
4.100000000000012523e-01 2.461934089660644531e-02 3.241744345808824680e-03
4.200000000000012612e-01 3.314455784857273102e-02 3.608678393439107828e-03
4.300000000000012701e-01 3.663722984492778778e-02 4.426992977222511498e-03
4.400000000000012790e-01 3.866074979305267334e-02 3.801153853497457862e-03
4.500000000000012879e-01 3.979977779090404510e-02 4.912996092328179160e-03
4.600000000000012967e-01 3.016354516148567200e-02 5.409580189979994180e-03
4.700000000000013056e-01 2.219766378402709961e-02 4.014955476508804376e-03
4.800000000000013145e-01 9.087238460779190063e-03 4.822465050190621362e-03
4.900000000000013234e-01 -9.958172217011451721e-03 4.730211393864193654e-03
5.000000000000013323e-01 -2.508682571351528168e-02 7.429993679921383272e-03
5.100000000000013411e-01 -4.758475348353385925e-02 8.956672252182409227e-03
5.200000000000013500e-01 -6.226690299808979034e-02 8.065341171391572986e-03
5.300000000000013589e-01 -7.699782401323318481e-02 5.327215813520897077e-03
5.400000000000013678e-01 -9.736111015081405640e-02 4.700564447195508880e-03
5.500000000000013767e-01 -1.130076143890619278e-01 4.762972859611080967e-03
5.600000000000013856e-01 -1.268995376303792000e-01 2.747160273847425432e-03
5.700000000000013944e-01 -1.392342038452625275e-01 1.933255924234515786e-03
5.800000000000014033e-01 -1.549457460641860962e-01 3.800903442500471602e-03
5.900000000000014122e-01 -1.666920697316527367e-01 1.926973158810933381e-03
6.000000000000014211e-01 -1.820496888831257820e-01 1.850020680425508435e-03
6.100000000000014300e-01 -1.937856245785951614e-01 3.169730169385799601e-03
6.200000000000014388e-01 -2.051279852166771889e-01 1.781951568524814617e-03
6.300000000000014477e-01 -2.205905290320515633e-01 1.239816831217603567e-03
6.400000000000014566e-01 -2.335691992193460464e-01 1.516142722523575962e-03
6.500000000000014655e-01 -2.474206406623125076e-01 1.209421775484125069e-03
6.600000000000014744e-01 -2.603776017203927040e-01 1.360833075228912387e-03
6.700000000000014833e-01 -2.718252334743738174e-01 1.301288821845926220e-03
6.800000000000014921e-01 -2.823530714958906174e-01 1.121557357886675613e-03
6.900000000000015010e-01 -2.907504420727491379e-01 8.387448617536107359e-04
7.000000000000015099e-01 -2.948486395180225372e-01 1.292122988601774811e-03
7.100000000000015188e-01 -2.967823110520839691e-01 1.360049830470244549e-03
7.200000000000015277e-01 -2.956880731508135796e-01 3.642263450385588384e-03
7.300000000000015365e-01 -2.991993222385644913e-01 4.256299524142191301e-03
7.400000000000015454e-01 -2.979478482156991959e-01 3.455776380022394095e-02
7.500000000000015543e-01 nan nan
7.600000000000015632e-01 nan nan
7.700000000000015721e-01 nan nan
7.800000000000015810e-01 nan nan
7.900000000000015898e-01 nan nan
8.000000000000015987e-01 nan nan
8.100000000000016076e-01 nan nan
8.200000000000016165e-01 nan nan
8.300000000000016254e-01 nan nan
8.400000000000016342e-01 nan nan
8.500000000000016431e-01 nan nan
8.600000000000016520e-01 nan nan
8.700000000000016609e-01 nan nan
8.800000000000016698e-01 nan nan
8.900000000000016787e-01 nan nan
9.000000000000016875e-01 nan nan
9.100000000000016964e-01 nan nan
9.200000000000017053e-01 nan nan
9.300000000000017142e-01 nan nan
9.400000000000017231e-01 nan nan
9.500000000000017319e-01 nan nan
9.600000000000017408e-01 nan nan
9.700000000000017497e-01 nan nan
9.800000000000017586e-01 nan nan
9.900000000000017675e-01 nan nan
