# Bins	Density_mean	Density_std
3.300000000000011813e-01 8.395657456865666290e+01 1.571002332551714176e-01
3.400000000000011902e-01 8.567204951632734833e+01 3.427660226558180145e-01
3.500000000000011990e-01 8.576520134427292419e+01 2.250702194870629336e-01
3.600000000000012079e-01 8.533334149361388654e+01 2.998105183567455478e-01
3.700000000000012168e-01 8.313558506364388734e+01 3.862716259434761379e-01
3.800000000000012257e-01 8.030428225645376017e+01 4.589342439728860690e-01
3.900000000000012346e-01 7.616657491422252235e+01 3.133038809937261360e-01
4.000000000000012434e-01 7.092016141185604283e+01 2.348604729855093276e-01
4.100000000000012523e-01 6.539514702957892212e+01 4.114328947556531446e-01
4.200000000000012612e-01 6.036466345254196142e+01 4.403804611260858648e-01
4.300000000000012701e-01 5.673459084241783756e+01 4.587452705441212863e-01
4.400000000000012790e-01 5.397621423692212517e+01 4.429773042190222609e-01
4.500000000000012879e-01 5.280939500981167356e+01 2.998429970176949011e-01
4.600000000000012967e-01 5.296236911258471025e+01 3.464883507517221295e-01
4.700000000000013056e-01 5.366713248364701627e+01 2.501742607941363494e-01
4.800000000000013145e-01 5.490459896864891931e+01 3.060907389525091560e-01
4.900000000000013234e-01 5.587400468882881199e+01 4.941131725985034584e-01
5.000000000000013323e-01 5.599051569075463419e+01 3.533023313020813849e-01
5.100000000000013411e-01 5.579766007142998774e+01 3.365939049702580399e-01
5.200000000000013500e-01 5.523874910375647573e+01 2.611796617374215201e-01
5.300000000000013589e-01 5.480518004524521558e+01 2.980868076958080870e-01
5.400000000000013678e-01 5.547860793901696752e+01 3.084498030400846247e-01
5.500000000000013767e-01 5.760856579084919815e+01 2.930812494859330042e-01
5.600000000000013856e-01 6.078284964038329719e+01 4.415479348151499228e-01
5.700000000000013944e-01 6.524074858692904400e+01 3.989485224757344795e-01
5.800000000000014033e-01 7.045867529175865229e+01 4.409428685174697771e-01
5.900000000000014122e-01 7.523249282298833407e+01 3.337057807525637410e-01
6.000000000000014211e-01 8.026867375953268890e+01 2.012238902063213097e-01
6.100000000000014300e-01 8.626599924497119787e+01 3.634933225722683514e-01
6.200000000000014388e-01 9.391470438362242135e+01 5.751926734118849582e-01
6.300000000000014477e-01 1.037754093510121010e+02 4.698493766964850771e-01
6.400000000000014566e-01 1.155008600851656979e+02 6.697485405130521041e-01
6.500000000000014655e-01 1.282031231068587260e+02 3.709099185427762180e-01
6.600000000000014744e-01 1.390489015330735754e+02 4.879640410861329491e-01
6.700000000000014833e-01 1.446909966532272733e+02 2.894279658310191516e-01
6.800000000000014921e-01 1.420553981451154755e+02 7.640245663925836483e-01
6.900000000000015010e-01 1.298109179598400260e+02 4.268611398651019906e-01
7.000000000000015099e-01 1.090243866651568965e+02 4.729500775541317648e-01
7.100000000000015188e-01 8.468982473725584725e+01 4.300377183926425428e-01
7.200000000000015277e-01 6.215619814963609713e+01 4.244627469287058918e-01
7.300000000000015365e-01 4.430067345352215114e+01 2.557306953960477580e-01
