#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          
6900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.89616554e+06 -1.61755813e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.31390794e+06 -2.21553875e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.72028078e+06 -1.36578651e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.30318127e+06 -7.68726161e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
7300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.60963808e+06 -2.63886398e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.55184503e+06 -1.12467785e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.54849153e+06 -2.55133528e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.19937959e+06 -3.48305408e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.02327342e+06 -3.23096553e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.39549508e+06 -2.33232731e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
7900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.92804812e+06 -4.52611233e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.21764398e+06 -2.07774095e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.38867840e+06 -2.32256951e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -7.12163596e+05  7.72907120e+01  8.57000000e+02  7.97417183e+02  3.21501847e+04
8300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.77939031e+06 -4.31331496e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.74991333e+06 -1.40820426e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.46674363e+06 -3.86577442e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.04454873e+06 -3.26142023e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.39568542e+06 -3.76405759e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
8800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.17579337e+06 -5.86375761e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
8900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -6.12045144e+04  1.00911118e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.02919119e+06 -1.80797874e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.70947859e+06 -2.78178145e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.35055771e+06 -2.26800136e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.34647450e+06 -2.26215641e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.99095110e+06 -4.61615530e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.28225840e+06 -3.60169159e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.60879905e+06 -2.63766294e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.55661256e+06 -2.56296018e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
9800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -5.23683408e+05  3.47092151e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
9900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.12655924e+06 -5.15899170e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
