,z-loc_nm,density-ow_nm^-3,density-hw_nm^-3,s_value
84,-0.15999999999999925,30.89171972123971,62.88885750239269,0.019822299480438232
85,-0.14999999999999925,30.781963757471072,63.21314839295492,0.020284533500671387
86,-0.13999999999999924,31.299309887406782,64.1632316401837,0.01734331250190735
87,-0.12999999999999923,31.611551197221146,65.0496616673748,0.013880670070648193
88,-0.11999999999999922,32.19255054719452,65.64428228254143,0.01153959333896637
89,-0.10999999999999921,32.46157053476109,66.19201431175438,0.009356722235679626
90,-0.0999999999999992,33.26810660264567,67.02841238410107,0.005633234977722168
91,-0.08999999999999919,33.46404326350234,67.6856384296751,0.0057721734046936035
92,-0.07999999999999918,33.93843001859782,68.68418194730292,0.0032314062118530273
93,-0.06999999999999917,34.78792546132264,69.73118573532976,-0.0009919553995132446
94,-0.059999999999999165,35.74246181447997,70.40386667794998,-0.0049681514501571655
95,-0.049999999999999156,36.32346116445334,71.20411600805306,-0.010208338499069214
96,-0.03999999999999915,36.84578429513274,71.58079638012777,-0.012912631034851074
97,-0.02999999999999914,37.32645778800972,72.25138174348749,-0.019570142030715942
98,-0.01999999999999913,37.466075756240464,72.5848407933144,-0.016420871019363403
99,-0.00999999999999912,37.478911179211025,72.68542859781836,-0.01865747570991516
100,8.881784197001252e-16,37.68349210451725,73.07153907656532,-0.019337192177772522
101,0.010000000000000897,37.841446391277366,72.38314128949136,-0.016777247190475464
102,0.020000000000000906,37.509820973303384,72.03082202631995,-0.018370747566223145
103,0.030000000000000915,37.035434218207904,72.02898839446702,-0.019155070185661316
104,0.040000000000000924,36.478795977137835,71.36652340074174,-0.018969908356666565
105,0.05000000000000093,35.76263176486227,71.07471398871725,-0.016423776745796204
106,0.06000000000000094,35.098333139284065,70.36562235644587,-0.01653929054737091
107,0.07000000000000095,34.46049120186965,69.78331326943469,-0.016240403056144714
108,0.08000000000000096,33.94288312452638,68.98568341340722,-0.013446792960166931
109,0.09000000000000097,33.68800829696818,68.606907462072,-0.013665974140167236
110,0.10000000000000098,33.00825477434379,67.83521039939322,-0.008543536067008972
111,0.11000000000000099,32.658554985248,66.67530727870698,0.00045567750930786133
112,0.120000000000001,32.31147467022784,65.81219057078891,0.005895733833312988
113,0.130000000000001,32.144876119018164,65.21075932302567,0.016766279935836792
114,0.140000000000001,31.71606821283854,64.05190399196968,0.021507173776626587
115,0.15000000000000102,31.27704435776398,63.17595186108106,0.025145411491394043
116,0.16000000000000103,31.106254648033303,63.21733955147592,0.027594447135925293
117,0.17000000000000104,30.79977618118531,62.67694204967472,0.02806602418422699
118,0.18000000000000105,30.847188661954107,62.48912575845249,0.029429346323013306
119,0.19000000000000106,30.950395940533685,62.4207574850787,0.026363134384155273
120,0.20000000000000107,31.3493418422512,62.75840769342662,0.02453717589378357
121,0.21000000000000107,31.594262668322028,63.06331447582924,0.020190298557281494
122,0.22000000000000108,31.895240239611212,63.44785327013082,0.011810630559921265
123,0.2300000000000011,32.17997707163153,64.2481026002339,0.006739959120750427
124,0.2400000000000011,32.68684530526474,65.68514607812115,-0.002137124538421631
125,0.2500000000000011,32.9461732387515,66.83221377583685,-0.006211444735527039
126,0.2600000000000011,33.59606475691378,68.92438772003761,-0.004321068525314331
127,0.27000000000000113,33.89285116968196,70.74596999222645,-0.006411045789718628
128,0.28000000000000114,34.18361279207621,72.93323084537236,-0.0120917409658432
129,0.29000000000000115,34.32637412919771,74.21074835205413,-0.014646857976913452
130,0.30000000000000115,35.06558971333877,76.40848710150254,-0.018096625804901123
131,0.31000000000000116,35.97716669165587,78.38671392341368,-0.013897180557250977
132,0.3200000000000012,37.26673377908549,80.11373318147248,-0.008950561285018921
133,0.3300000000000012,38.8669704918841,81.96177214182512,-0.005239367485046387
134,0.3400000000000012,40.22621558972533,83.35716598190994,0.001046210527420044
135,0.3500000000000012,41.89613031293553,84.19565963351714,0.0072078704833984375
136,0.3600000000000012,43.93224751191796,83.6500231835647,0.013630375266075134
137,0.3700000000000012,45.71427572556487,82.0259492566779,0.021903783082962036
138,0.3800000000000012,47.64980512004334,79.01460185934071,0.03096500039100647
139,0.39000000000000123,48.025961597302924,75.02409505253533,0.03944109380245209
140,0.40000000000000124,47.30429648946855,70.32135324456782,0.048829227685928345
141,0.41000000000000125,44.965891982159135,65.2704833319499,0.05533738434314728
142,0.42000000000000126,40.62018449069915,60.68378422553253,0.05973397195339203
143,0.43000000000000127,35.10200040298994,57.00840015002469,0.06387579441070557
